~Ascii          DEPT                CHRP                CHRS                DTCO                DTRP                DTSM                DTRS              GR_ARC                ROP5
          2469.65960             0.81578             0.93668           323.44159           323.44159           637.24872           637.24872            99.98270            38.48626
          2469.81200             0.82376             0.93528           323.16022           323.16022           636.78070           636.78070           102.45748            35.00714
          2469.96440             0.83405             0.93106           322.19559           322.19559           635.84064           635.84064           108.13023            35.46074
          2470.11680             0.82255             0.93575           321.26410           321.26410           634.49628           634.49628           110.64727            34.54156
          2470.26920             0.80508             0.93542           321.00690           321.00690           633.18286           633.18286           115.18149            35.09290
          2470.42160             0.78838             0.94137           322.17432           322.17432           633.26587           633.26587           117.40095            34.17296
          2470.57400             0.79786             0.95018           323.48428           323.48428           633.94904           633.94904           113.15328            33.81623
          2470.72640             0.81078             0.95448           323.55447           323.55447           635.12524           635.12524           110.49975            33.23962
          2470.87880             0.80440             0.95359           321.49792           321.49792           636.16217           636.16217           112.47058            32.45311
          2471.03120             0.81461             0.95358           320.00436           320.00436           637.48486           637.48486           110.91656            33.07796
          2471.18360             0.81090             0.95319           319.29446           319.29446           638.37164           638.37164           106.56245            33.20288
          2471.33600             0.79409             0.94657           319.56500           319.56500           638.14618           638.14618           107.93015            35.46949
          2471.48840             0.78362             0.95078           319.83038           319.83038           637.16925           637.16925           110.90283            34.70870
          2471.64080             0.77467             0.94985           320.46463           320.46463           636.33356           636.33356           107.80264            35.29149
          2471.79320             0.78357             0.95105           321.75632           321.75632           636.62537           636.62537           102.41017            34.17877
          2471.94560             0.77964             0.95618           322.74255           322.74255           637.72156           637.72156           102.00309            34.82419
          2472.09800             0.78140             0.96003           322.84378           322.84378           639.48175           639.48175           104.98785            36.01558
          2472.25040             0.80219             0.95564           322.03555           322.03555           641.88202           641.88202           105.92462            36.46701
          2472.40280             0.80188             0.95018           320.32401           320.32401           643.51605           643.51605           107.34445            37.24395
          2472.55520             0.78112             0.94738           320.50375           320.50375           643.23022           643.23022           110.13359            37.10784
          2472.70760             0.76622             0.95220           320.85214           320.85214           641.33173           641.33173           107.57869            36.07360
          2472.86000             0.75996             0.95781           321.67883           321.67883           638.12531           638.12531           103.63895            34.42678
          2473.01240             0.76014             0.95531           321.03571           321.03571           636.57910           636.57910           108.41847            34.93255
